Input Index,Stereo Set,Data Type,Loop Iters Templated,Num Possible Disparity Values,Median Optimized Runtime (including transfer time),Average Single-Thread CPU run time
0,tsukubaSetHalfSize,FLOAT,YES,8,0.00057943,0.0104731
0,tsukubaSetHalfSize,FLOAT,NO,8,0.00129303,0.0109373
1,tsukubaSet,FLOAT,YES,16,0.00224934,0.119339
1,tsukubaSet,FLOAT,NO,16,0.00346451,0.121979
2,venus,FLOAT,YES,21,0.00370049,0.438561
2,venus,FLOAT,NO,21,0.00562095,0.437644
3,barn1,FLOAT,YES,32,0.00573578,0.639585
3,barn1,FLOAT,NO,32,0.00669724,0.633721
4,conesQuarterSize,FLOAT,YES,64,0.0166313,1.32268
4,conesQuarterSize,FLOAT,NO,64,0.0182583,1.3335
5,conesHalfSize,FLOAT,YES,128,0.228851,10.2167
5,conesHalfSize,FLOAT,NO,128,0.231532,10.2571
6,conesFullSizeCropped,FLOAT,YES,256,0.470064,18.6791
6,conesFullSizeCropped,FLOAT,NO,256,0.473955,18.6104
0,tsukubaSetHalfSize,DOUBLE,YES,8,0.000718963,0.0111037
0,tsukubaSetHalfSize,DOUBLE,NO,8,0.00202021,0.0112795
1,tsukubaSet,DOUBLE,YES,16,0.00368807,0.122013
1,tsukubaSet,DOUBLE,NO,16,0.00592255,0.122776
2,venus,DOUBLE,YES,21,0.00601274,0.435052
2,venus,DOUBLE,NO,21,0.00941604,0.43236
3,barn1,DOUBLE,YES,32,0.0122368,0.641024
3,barn1,DOUBLE,NO,32,0.0158892,0.644974
4,conesQuarterSize,DOUBLE,YES,64,0.048782,1.31293
4,conesQuarterSize,DOUBLE,NO,64,0.0502137,1.30523
5,conesHalfSize,DOUBLE,YES,128,0.454128,9.83487
5,conesHalfSize,DOUBLE,NO,128,0.458069,9.78981
6,conesFullSizeCropped,DOUBLE,YES,256,0.929048,18.5111
6,conesFullSizeCropped,DOUBLE,NO,256,0.93799,18.6712
0,tsukubaSetHalfSize,HALF,YES,8,0.000712023,0.0101641
0,tsukubaSetHalfSize,HALF,NO,8,0.00123483,0.0103202
1,tsukubaSet,HALF,YES,16,0.00207493,0.125263
1,tsukubaSet,HALF,NO,16,0.00287283,0.124046
2,venus,HALF,YES,21,0.00352845,0.440161
2,venus,HALF,NO,21,0.00407441,0.440138
3,barn1,HALF,YES,32,0.00412757,0.643953
3,barn1,HALF,NO,32,0.00545898,0.644879
4,conesQuarterSize,HALF,YES,64,0.009575,1.31811
4,conesQuarterSize,HALF,NO,64,0.0112002,1.32411
5,conesHalfSize,HALF,YES,128,0.114881,10.2004
5,conesHalfSize,HALF,NO,128,0.117736,10.2208
6,conesFullSizeCropped,HALF,YES,256,0.256357,18.6711
6,conesFullSizeCropped,HALF,NO,256,0.262161,18.6753
